,location,make_year,brand,model,price,km_driven,fuel_type,transmission,registration_year,insurance_type,no_of_seats,ownership,power,cc,mileage
7753,chandigarh,2015,Mercedes-Benz,GLA,1650000,70000,Petrol,  Automatic,2015,Expired,5,First Owner,183.0,1991.0,14.0
7754,chandigarh,2023,Volvo,XC60,5800000,9500,Petrol,  Automatic,2023,Comprehensive,5,First Owner,250.0,1969.0,11.2
7755,chandigarh,2017,Mercedes-Benz,E-Class,3200000,38000,Petrol,  Automatic,2017,Comprehensive,5,First Owner,194.4,1991.0,14.0
7756,chandigarh,2022,Mercedes-Benz,GLA,4700000,29000,Petrol,  Automatic,2022,Comprehensive,5,First Owner,301.73,1991.0,14.0
7757,chandigarh,2019,Audi,Q5,3900000,19000,Diesel,  Automatic,2019,Zero Dep,5,First Owner,188.0,1968.0,14.0
7758,chandigarh,2019,BMW,5,2850000,49000,Diesel,  Automatic,2019,Expired,5,Second Owner,187.74,1995.0,14.0
7759,chandigarh,2022,BMW,X3,5300000,40000,Petrol,  Automatic,2022,Zero Dep,5,First Owner,248.08,1998.0,14.0
7760,chandigarh,2024,Mercedes-Benz,C-Class,5500000,3000,Petrol,  Automatic,2024,Comprehensive,5,First Owner,201.15,1496.0,18.0
7761,chandigarh,2021,Mercedes-Benz,C-Class,3600000,36000,Petrol,  Automatic,2021,Zero Dep,5,Second Owner,201.15,1950.0,14.0
7762,chandigarh,2023,Toyota,Vellfire,13899999,1900,Petrol,  Automatic,2024,Comprehensive,7,First Owner,190.42,2487.0,14.0
7763,chandigarh,2019,Porsche,Macan,5100000,32000,Petrol,  Automatic,2019,Expired,5,Second Owner,252.0,1984.0,13.6
7764,chandigarh,2023,Audi,A6,5200000,9000,Petrol,  Automatic,2023,Expired,5,First Owner,241.3,1984.0,14.0
7765,chandigarh,2017,Ford,Endeavour,2175000,70000,Diesel,  Automatic,2017,Comprehensive,7,First Owner,197.0,3198.0,10.91
7766,chandigarh,2021,Mercedes-Benz,S-Class,13799999,22000,Diesel,  Automatic,2023,Expired,5,First Owner,281.61,2925.0,14.0
7767,chandigarh,2024,Mercedes-Benz,A-Class,4500000,3000,Diesel,  Automatic,2024,Zero Dep,5,First Owner,160.92,1950.0,14.0
7768,chandigarh,2019,Mercedes-Benz,S-Class,7150000,35300,Diesel,  Automatic,2019,Comprehensive,5,First Owner,281.61,2925.0,14.0
7769,chandigarh,2020,Toyota,Land,15700000,51000,Diesel,  Automatic,2020,Comprehensive,7,Second Owner,261.49,4461.0,11.0
7770,chandigarh,2022,Mini,3,3800000,23000,Petrol,  Automatic,2022,Zero Dep,4,First Owner,189.08,1998.0,17.33
7771,chandigarh,2020,Kia,Carnival,2650000,80000,Diesel,  Automatic,2020,Comprehensive,7,Second Owner,197.26,2199.0,14.0
7772,chandigarh,2018,Volvo,XC60,3100000,60000,Diesel,  Automatic,2018,Expired,5,Second Owner,181.0,1984.0,14.0
7773,chandigarh,2022,Mercedes-Benz,AMG,4700000,29000,Petrol,  Automatic,2022,Comprehensive,5,First Owner,301.73,1991.0,14.0
7774,chandigarh,2018,Mercedes-Benz,S-Class,8975000,40000,Petrol,  Automatic,2018,Expired,4,First Owner,459.0,4663.0,14.0
7775,chandigarh,2021,Mercedes-Benz,GLC,4600000,38000,Petrol,  Automatic,2021,Comprehensive,5,First Owner,197.0,1991.0,14.0
7776,chandigarh,2022,Toyota,Land,24800000,19000,Diesel,  Automatic,2023,Comprehensive,5,First Owner,304.41,3346.0,11.0
7777,chandigarh,2020,Mercedes-Benz,GLC,4500000,45000,Petrol,  Automatic,2020,Comprehensive,5,First Owner,254.79,1991.0,14.0
7778,chandigarh,2021,Mercedes-Benz,S-Class,13899999,9000,Diesel,  Automatic,2023,Comprehensive,5,First Owner,281.61,2925.0,14.0
7779,chandigarh,2023,MG,Gloster,3800000,3500,Diesel,  Automatic,2023,Comprehensive,6,First Owner,158.79,1996.0,10.0
7780,chandigarh,2020,Land,Rover,5150000,23000,Diesel,  Automatic,2020,Zero Dep,7,Second Owner,245.4,1999.0,14.0
7781,chandigarh,2014,Mercedes-Benz,S-Class,4290000,81000,Petrol,  Automatic,2014,Comprehensive,5,First Owner,362.9,5461.0,7.81
7782,chandigarh,2014,Land,Rover,3700000,79000,Diesel,  Automatic,2014,Comprehensive,5,First Owner,296.0,2993.0,14.0
7783,chandigarh,2019,Mercedes-Benz,E-Class,3900000,17000,Petrol,  Automatic,2019,Comprehensive,5,First Owner,194.4,1991.0,14.0
7784,chandigarh,2016,BMW,7,3890000,40000,Diesel,  Automatic,2016,Comprehensive,5,Second Owner,261.49,2993.0,14.0
7785,chandigarh,2023,Mercedes-Benz,C-Class,4800000,28000,Petrol,  Automatic,2023,Comprehensive,5,First Owner,201.15,1496.0,18.0
7786,chandigarh,2022,Mercedes-Benz,S-Class,14500000,22100,Petrol,  Automatic,2022,Comprehensive,5,First Owner,362.07,2999.0,14.0
7787,chandigarh,2016,Audi,Q7,3490000,75000,Diesel,  Automatic,2016,Comprehensive,7,Second Owner,245.0,2967.0,14.75
7788,chandigarh,2015,Toyota,Fortuner,1455000,134000,Diesel,  Automatic,2016,Expired,7,First Owner,168.5,2982.0,12.55
7789,chandigarh,2020,Toyota,Land,16299999,70000,Diesel,  Automatic,2020,Comprehensive,7,First Owner,261.49,4461.0,11.0
7790,chandigarh,2020,Mercedes-Benz,E-Class,4900000,24000,Petrol,  Automatic,2020,Comprehensive,5,First Owner,194.4,1991.0,14.0
